casnumber_grouped,accepted_name,medium,min_tier_rank,max_tier_rank,n_distinct_tiers
95534,Daphnia magna,Freshwater,2,3,2
95534,Daphnia magna,Unknown,1,3,2
95567,Daphnia magna,Unknown,1,3,2
95578,Daphnia magna,Freshwater,1,3,2
95578,Daphnia magna,Unknown,1,3,2
95578,Desmodesmus subspicatus,Freshwater,1,3,3
95578,Raphidocelis subcapitata,Unknown,2,3,2
95647,Daphnia magna,Unknown,1,3,2
95750,Pimephales promelas,Freshwater,1,3,3
95761,Chapalichthys pardalis,Freshwater,1,3,3
95761,Chironomus riparius,Unknown,1,3,2
95761,Danio rerio,Freshwater,1,3,3
95761,Daphnia longispina,Freshwater,1,3,3
95761,Daphnia longispina,Unknown,1,3,2
95761,Daphnia magna,Freshwater,1,3,3
95761,Daphnia magna,Unknown,1,3,2
95761,Desmodesmus subspicatus,Freshwater,1,3,3
95761,Gammarus pulex,Unknown,1,3,2
95761,Marinogammarus marinus,Marine,1,3,3
95761,Oncorhynchus mykiss,Unknown,1,3,2
95761,Pimephales promelas,Freshwater,1,3,3
95761,Poecilia reticulata,Freshwater,2,3,2
95807,Raphidocelis subcapitata,Unknown,1,3,2
95829,Daphnia magna,Unknown,1,3,2
95841,Daphnia magna,Unknown,1,3,2
95954,Daphnia magna,Unknown,1,3,2
95954,Raphidocelis subcapitata,Unknown,1,3,2
96093,Daphnia magna,Unknown,1,3,2
96128,Mercenaria mercenaria,Marine,2,3,2
96139,Daphnia magna,Unknown,1,3,2
96231,Daphnia magna,Unknown,1,3,2
96333,Raphidocelis subcapitata,Unknown,1,3,2
97007,Auxenochlorella pyrenoidosa,Freshwater,2,3,2
